id,channel,triggerType,persona,gender,psychologicalTrigger,daysInactive,title,body,text,variables,clickCount,completionRate
0VbRGumCQAWcTegj8Uls,retention,Inactivity,,both,FOMO,1,,,"5 ק""מ ראשונים בפתח. @שם, בוא/י לעשות היסטוריה אישית.",@שם,,
0e4281d9,retention,Inactivity,,both,FOMO,1,,,ה@מיקום מחכה לדיוק שלך. @זמן_אימון דקות של @קטגוריה טכנית.,"@מיקום,@זמן_אימון,@קטגוריה",,
11205921,retention,Inactivity,,both,FOMO,1,,,אימון @קטגוריה ב@מיקום מתחיל עכשיו. @מוכן/ה להעלות את ה@סקייל_נוכחי?,"@קטגוריה,@מיקום,@מוכן,@סקייל_נוכחי",,
11cbb7a1,retention,Inactivity,,both,FOMO,1,,,היום מתמקדים ב@שריר. צא/י ל@מיקום ל-@זמן_אימון דקות של @קטגוריה.,"@שריר,@מיקום,@זמן_אימון,@קטגוריה",,
3548ePGGvnSPsamrUl1U,retention,Inactivity,,both,FOMO,1,,,"לוחם/ת, 3 ק""מ לתוצאה מושלמת. בוא/י לתת עבודה.",,,
58e16b9e,retention,Inactivity,,both,FOMO,1,,,אין זמן? יש @מיקום. @זמן_אימון דקות של @קטגוריה ממוקדת.,"@מיקום,@זמן_אימון,@קטגוריה",,
8jRnXTDIml7FGedw3eDr,retention,Inactivity,,both,FOMO,1,,,"סגרת חודש בתוכנית! @שם, בוא/י לראות כמה התקדמת בשבוע @weekNumber.","@שם,@weekNumber",,
8juWMNlwr0wCbf3ZVjNE,retention,Inactivity,,both,FOMO,1,,,עוד שלב בדרך ליעד. שבוע @weekNumber מחכה שתכבוש/י אותו.,@weekNumber,,
98cb9f60,retention,Inactivity,,both,FOMO,1,,,"@שם, היום ב@מיקום מתקרבים ל@תרגיל_יעד. @זמן_אימון דקות של פוקוס.","@שם,@מיקום,@תרגיל_יעד,@זמן_אימון",,
B7Jkv5CUelKzFIx5YxUp,retention,Inactivity,,both,FOMO,1,,,"מרגיש/ה כבדות? @שם, בוא/י לאימון שחרור קליל שיחזיר לך את האנרגיה.",@שם,,
DZYiknuAbwQcYa7BVOlR,retention,Inactivity,,both,FOMO,1,,,שבוע Peak כאן! זה הזמן לתת את הכל לפני המרוץ.,,,
Dv1S1gKbAT62WOQjvjXR,retention,Inactivity,,both,FOMO,1,,,שלב ה-Build בשיאו. בוא/י לחזק את הרגליים והסיבולת בשבוע @weekNumber.,@weekNumber,,
DwrKv1uuXk8MsQwDb10P,retention,Inactivity,,both,FOMO,1,,,הקצב שלך עולה! בוא/י לאימון כוח ועליות בשבוע @weekNumber.,@weekNumber,,
IOU5S6ac7Ylpar6GIUyZ,retention,Inactivity,,both,FOMO,1,,,הסוד הוא עקביות. בוא/י לשמור על קצב @basePace חזק.,@basePace,,
MENmNMwqS77Lt0XIPbIb,retention,Inactivity,,both,FOMO,1,,,יום הריצה הארוכה! בוא/י נבנה היום את הבסיס האירובי שלך.,,,
OSNyo5y0ybT0xHeJSYcJ,retention,Inactivity,,both,FOMO,1,,,משחקים עם הקצב היום! בוא/י לאימון פארטלק משחרר ב@מיקום.,@מיקום,,
ObBedxox2X1vdFZ6m6Pa,retention,Inactivity,,both,FOMO,1,,,הרגליים כבדות מהטיסה? בוא/י לשחרור קצר שיחזיר לך את האנרגיה.,,,
